# Title: BLAST: The Mass Function, Lifetimes, and Properties of Intermediate 
#        Mass Cores from a 50 Square Degree Submillimeter Galactic Survey 
#        in Vela (l ~ 265 degrees) 
# Authors: Netterfield C.B., Ade P.A.R., Bock J.J., Chapin E.L., Devlin M.J., 
#          Griffin M., Gundersen J.O., Halpern M., Hargrave P.C., Hughes D.H., 
#          Klein J., Marsden G., Martin P.G., Mauskopf P., Olmi L., Pascale E., 
#          Patanchon G., Rex M., Roy A., Scott D., Semisch C., Thomas N., 
#          Truch M.D.P., Tucker C., Tucker G.S., Viero M.P., Wiebe D.V. 
# Table: BLAST Vela Sources Measured Properties
# ================================================================================
# Byte-by-byte Description of file: apj314789t1_mrt.txt
# --------------------------------------------------------------------------------
#    Bytes Format Units    Label    Explanations
# --------------------------------------------------------------------------------
#    1- 20 A20    ---      Name     Source name  
#   22- 29 F8.4   deg      GLON     Galactic longitude
#   31- 37 F7.4   deg      GLAT     Galactic latitude
#   39- 44 F6.1   Jy       F250     Flux density at 250 microns
#   46- 50 F5.1   Jy     e_F250     Uncertainty in F250  
#   52- 57 F6.1   Jy       F350     Flux density at 350 microns
#   59- 63 F5.1   Jy     e_F350     Uncertainty in F350  
#   65- 69 F5.1   Jy       F500     Flux density at 500 microns
#   71- 75 F5.1   Jy     e_F500     Uncertainty in F500  
#   77- 80 F4.1   arcsec   FWHM250  Full-Width at Half-Maximum at 250 microns
# --------------------------------------------------------------------------------
BLAST J084542-411715 261.6281  1.0831    8.8   1.2    5.8   0.9   2.8   0.6 42.3 
BLAST J084542-432721 263.3239 -0.2685    7.2   1.2    5.5   1.0   3.0   0.7 45.5 
BLAST J084546-432458 263.3005 -0.2341    6.4   1.0    4.5   0.8   2.1   0.6 49.4 
BLAST J084548-435334 263.6766 -0.5269    8.0   2.8    5.1   2.1   2.4   1.6 49.1 
BLAST J084548-430453 263.0429 -0.0203   18.0   2.7   13.7   2.2   7.0   1.5 68.2 
BLAST J084549-411923 261.6701  1.0787   17.4   2.7   10.2   2.0   4.2   1.3 65.1 
BLAST J084552-432152 263.2707 -0.1886   15.7   2.6    8.2   2.0   3.1   1.4 73.3 
BLAST J084552-410724 261.5207  1.2115   15.0   2.0    6.5   1.4   2.3   1.0 70.6 
BLAST J084555-420446 262.2735  0.6220   20.8   2.5   13.3   1.9   6.5   1.2 45.0 
BLAST J084556-411849 261.6766  1.1017   18.6   3.0    9.6   2.3   3.6   1.6 74.8 
BLAST J084602-411207 261.6012  1.1864   12.0   2.0    5.7   1.5   2.4   1.1 53.4 
BLAST J084606-433956 263.5331 -0.3425   42.6   4.9   21.7   3.2   9.4   1.9 69.4 
BLAST J084606-411709 261.6752  1.1446   17.6   2.8    9.3   2.1   3.4   1.5 73.3 
BLAST J084612-432337 263.3322 -0.1585    9.6   1.3    7.5   1.1   4.0   0.7 58.6 
BLAST J084617-424907 262.8924  0.2124   18.0   2.4   12.6   2.0   6.2   1.3 66.8 
BLAST J084617-445843 264.5787 -1.1377    5.1   0.6    2.6   0.4   1.1   0.3 38.7 
BLAST J084620-443122 264.2282 -0.8459   37.8   4.0   15.4   2.2   5.6   1.2 63.9 
BLAST J084621-424758 262.8847  0.2332   39.1   5.9   25.0   4.7   9.2   2.9 74.6 
BLAST J084625-424709 262.8819  0.2517   39.5   5.4   26.5   4.3  12.1   2.7 65.8 
BLAST J084625-455359 265.3130 -1.6945   30.1   3.6   15.1   2.5   5.9   1.5 71.2 
BLAST J084626-434227 263.6028 -0.3226   32.2   3.4   17.6   2.3   7.8   1.2 56.7 
BLAST J084626-424646 262.8789  0.2581   13.8   2.2    9.9   1.8   3.7   1.3 39.0 
BLAST J084629-424612 262.8781  0.2721   42.8   4.9   27.9   3.9  12.3   2.2 58.1 
BLAST J084633-432100 263.3370 -0.0827   24.5   4.0   15.9   3.3   7.0   2.2 74.1 
BLAST J084633-435432 263.7742 -0.4309  611.1  63.2  283.9  37.6 106.0  18.3 49.0 
BLAST J084634-445953 264.6258 -1.1099    8.1   1.0    4.1   0.7   1.9   0.4 38.6 
BLAST J084635-424522 262.8779  0.2943   28.4   3.2   18.4   2.5   9.2   1.5 52.3 
BLAST J084637-450053 264.6431 -1.1151   20.6   2.3    9.5   1.4   3.9   0.8 46.4 
BLAST J084637-432245 263.3685 -0.0899    5.5   0.7    3.2   0.6   1.4   0.4 49.4 
BLAST J084639-424441 262.8768  0.3109   16.2   1.9   12.1   1.7   6.2   1.0 39.7 
BLAST J084643-424400 262.8748  0.3268   10.0   1.4    6.9   1.1   3.3   0.7 47.8 
BLAST J084647-424323 262.8747  0.3429   16.5   2.3   11.5   1.9   4.6   1.3 69.2 
BLAST J084648-435257 263.7814 -0.3797   19.5   3.1   17.0   2.6   7.6   1.7 53.9 
BLAST J084654-431626 263.3177  0.0149    7.9   1.3    5.3   1.0   2.7   0.7 53.4 
BLAST J084654-435253 263.7922 -0.3644   10.4   1.4   10.7   1.4   4.8   0.8 56.4 
BLAST J084710-432245 263.4313 -0.0119    9.0   1.1    5.7   0.9   2.6   0.5 55.3 
BLAST J084718-432804 263.5147 -0.0496   14.0   2.3    8.9   1.8   3.8   1.2 65.0 
BLAST J084724-434859 263.7982 -0.2533    3.5   0.6    2.9   0.5   1.5   0.4 38.6 
BLAST J084727-432807 263.5323 -0.0292    8.7   1.1    6.9   0.9   3.4   0.6 47.7 
BLAST J084728-432706 263.5208 -0.0163   10.5   1.3    8.8   1.2   4.5   0.7 42.6 
BLAST J084731-435344 263.8713 -0.2886    9.9   1.4    6.1   1.1   3.2   0.7 53.5 
BLAST J084734-432654 263.5293 -0.0007   19.9   2.2   12.7   1.7   5.4   1.0 55.5 
BLAST J084735-432829 263.5521 -0.0141   10.2   1.7    7.5   1.4   3.7   0.9 51.0 
BLAST J084736-434332 263.7488 -0.1699   14.6   1.8    7.4   1.3   3.4   0.8 60.2 
BLAST J084737-434828 263.8151 -0.2189   20.3   3.3   12.0   2.6   5.2   1.7 70.7 
BLAST J084738-434931 263.8305 -0.2277   52.7   8.7   25.0   6.6   8.3   4.5 91.3 
BLAST J084739-432623 263.5322  0.0167   29.5   3.2   18.7   2.5   7.5   1.4 61.0 
